Field	Onset	80\% point	Midpoint	20\% point

0	177.2	168.2	154	136
0.1	173.7	164.1	148.3	126.2
0.2	170.3	160.9	144.8	122.7
0.3	170.1	159.8	142.6	119.2
0.4	167.8	156.3	139.5	-
0.5	162.3	152.3	134.7	107.8
0.6	162.7	151.6	136.4	115.1
0.7	160.1	151.3	136.7	119.7
0.8	157.9	151.1	137.9	122.6
0.9	162.3	153.5	140.6	124.8
1	166.7	156.5	143.3	126.2
1.1	165.5	156.5	142.2	-
1.2	173.5	159.5	144.9	125.2
1.3	171.4	158.6	141.9	119.9
1.4	171.7	157.7	139.7	-
1.5	171.1	154.7	137.7	113.2
1.6	173.3	156.9	135.6	-
1.8	167.7	149.6	127	-
2	166.3	145.9	122.3	94.9
2.15	158.7	138.8	112.4	
2.3	152.4	132.5	104.8	-
