T	res	T**1.2	rho
0.12687	1.8993	0.083952	0.056818
0.12813	2.2180	0.084953	0.066349
0.12935	1.5054	0.085925	0.045033
0.13040	0.68138	0.086763	0.020383
0.13144	0.92118	0.087594	0.027557
0.13248	0.49260	0.088426	0.014736
0.13567	2.0192	0.090987	0.060403
0.13653	2.1758	0.091680	0.065089
0.13731	2.3624	0.092309	0.070669
0.13836	2.2066	0.093156	0.066010
0.13920	2.1245	0.093835	0.063554
0.13987	2.0057	0.094378	0.059998
0.14064	1.9528	0.095002	0.058416
0.14141	2.4815	0.095626	0.074232
0.14204	2.8349	0.096137	0.084806
0.14274	2.7566	0.096706	0.082461
0.14341	3.2043	0.097251	0.095856
0.14408	3.1411	0.097797	0.093964
0.14487	3.3614	0.098441	0.10056
0.14545	3.4189	0.098914	0.10227
0.14603	3.1732	0.099387	0.094926
0.14652	3.4487	0.099788	0.10317
0.14729	3.5532	0.10042	0.10629
0.14770	3.7153	0.10075	0.11114
0.14825	3.8057	0.10120	0.11385
0.14874	4.0592	0.10160	0.12143
0.14913	4.1884	0.10192	0.12529
0.14961	4.2479	0.10232	0.12707
0.15001	4.4222	0.10265	0.13229
0.15039	4.4552	0.10296	0.13328
0.15078	4.4354	0.10328	0.13268
0.15104	4.5618	0.10349	0.13646
0.15142	4.6043	0.10381	0.13774
0.15181	4.7557	0.10413	0.14227
0.15199	4.7947	0.10427	0.14343
0.15235	4.7459	0.10457	0.14197
0.15265	4.7706	0.10482	0.14271
0.15295	4.7236	0.10507	0.14130
0.15327	4.8720	0.10533	0.14574
0.15355	4.8517	0.10556	0.14514
0.15377	4.8700	0.10574	0.14568
0.15393	5.0731	0.10587	0.15176
0.15416	5.0370	0.10606	0.15068
0.15439	5.1244	0.10625	0.15329
0.15462	5.0517	0.10644	0.15112
0.15482	5.1878	0.10661	0.15519
0.15510	5.2797	0.10684	0.15794
0.15533	5.5389	0.10703	0.16569
0.15549	5.6325	0.10716	0.16849
0.15574	5.5788	0.10737	0.16689
0.15594	5.5660	0.10753	0.16651
0.15615	5.6721	0.10771	0.16968
0.15633	5.6522	0.10786	0.16908
0.15654	5.7393	0.10803	0.17169
0.15674	5.7405	0.10820	0.17172
0.15693	5.8274	0.10835	0.17432
0.15717	5.9951	0.10855	0.17934
0.15725	6.2113	0.10862	0.18581
0.15749	6.1980	0.10882	0.18541
0.15773	6.2898	0.10902	0.18816
0.15795	6.2282	0.10920	0.18632
0.15806	6.2976	0.10929	0.18839
0.15826	6.3853	0.10946	0.19101
0.15840	6.4790	0.10957	0.19382
0.15859	6.4914	0.10973	0.19419
0.15875	6.4580	0.10986	0.19319
0.15895	6.5035	0.11003	0.19455
0.15911	6.6093	0.11016	0.19771
0.15929	6.6856	0.11031	0.20000
0.15947	6.7297	0.11046	0.20132
0.15961	6.8821	0.11058	0.20587
0.15984	6.8724	0.11077	0.20558
0.15996	6.8541	0.11087	0.20504
0.16012	6.9886	0.11100	0.20906
0.16031	7.0120	0.11116	0.20976
0.16050	6.9859	0.11132	0.20898
0.16059	6.9206	0.11139	0.20703
0.16077	6.9906	0.11154	0.20912
0.16089	6.9832	0.11164	0.20890
0.16104	7.0574	0.11177	0.21112
0.16129	7.2102	0.11198	0.21569
0.16139	7.4033	0.11206	0.22147
0.16148	7.5119	0.11214	0.22472
0.16170	7.5133	0.11232	0.22476
0.16177	7.5358	0.11238	0.22543
0.16195	7.6019	0.11253	0.22741
0.16215	7.7361	0.11269	0.23142
0.16227	7.8815	0.11279	0.23577
0.16238	7.8534	0.11289	0.23493
0.16255	7.9320	0.11303	0.23728
0.16267	8.1531	0.11313	0.24390
0.16280	8.2081	0.11324	0.24554
0.16300	8.2562	0.11340	0.24698
0.16309	8.3447	0.11348	0.24963
0.16332	8.3998	0.11367	0.25128
0.16351	8.4422	0.11383	0.25254
0.16358	8.5259	0.11389	0.25505
0.16375	8.6418	0.11403	0.25852
0.16392	8.6223	0.11417	0.25793
0.16404	8.7650	0.11427	0.26220
0.16410	8.8185	0.11432	0.26380
0.16434	8.9221	0.11452	0.26690
0.16450	9.0912	0.11466	0.27196
0.16458	9.1598	0.11472	0.27401
0.16470	9.2139	0.11482	0.27563
0.16496	9.4448	0.11504	0.28254
0.16504	9.6034	0.11511	0.28728
0.16523	9.6551	0.11527	0.28883
0.16539	9.6245	0.11540	0.28791
0.16547	9.7022	0.11547	0.29024
0.16566	9.6832	0.11563	0.28967
0.16585	9.8566	0.11579	0.29486
0.16592	10.029	0.11585	0.30000
0.16610	10.046	0.11600	0.30053
0.16627	10.145	0.11614	0.30348
0.16643	10.271	0.11627	0.30724
0.16653	10.427	0.11636	0.31191
0.16663	10.536	0.11644	0.31519
0.16684	10.632	0.11662	0.31807
0.16700	10.704	0.11675	0.32020
0.16714	10.887	0.11687	0.32568
0.16723	11.010	0.11694	0.32937
0.16735	11.148	0.11704	0.33349
0.16753	11.310	0.11720	0.33832
0.16765	11.339	0.11730	0.33921
0.16788	11.420	0.11749	0.34164
0.16811	11.468	0.11768	0.34307
0.16823	11.580	0.11778	0.34642
0.16837	11.639	0.11790	0.34818
0.16850	11.770	0.11801	0.35209
0.16869	11.827	0.11817	0.35380
0.16893	11.954	0.11837	0.35761
0.16903	11.970	0.11846	0.35807
0.16918	12.017	0.11858	0.35947
0.16935	12.162	0.11873	0.36382
0.16952	12.316	0.11887	0.36842
0.16964	12.424	0.11897	0.37165
0.16980	12.557	0.11910	0.37562
0.16998	12.695	0.11926	0.37978
0.17009	12.913	0.11935	0.38628
0.17022	13.124	0.11946	0.39260
0.17038	13.083	0.11959	0.39138
0.17054	13.209	0.11973	0.39515
0.17072	13.350	0.11988	0.39937
0.17090	13.565	0.12003	0.40580
0.17109	13.633	0.12019	0.40783
0.17114	13.932	0.12023	0.41676
0.17138	14.193	0.12043	0.42457
0.17152	14.423	0.12055	0.43147
0.17167	14.632	0.12068	0.43772
0.17178	14.724	0.12077	0.44045
0.17196	14.943	0.12092	0.44700
0.17213	15.063	0.12107	0.45061
0.17226	15.131	0.12118	0.45263
0.17240	15.318	0.12130	0.45823
0.17255	15.442	0.12142	0.46193
0.17273	15.680	0.12157	0.46905
0.17292	15.754	0.12173	0.47128
0.17314	15.973	0.12192	0.47783
0.17325	16.188	0.12201	0.48427
0.17342	16.420	0.12216	0.49119
0.17361	16.647	0.12232	0.49800
0.17374	16.641	0.12243	0.49780
0.17396	16.722	0.12261	0.50023
0.17407	16.838	0.12271	0.50369
0.17426	17.020	0.12287	0.50916
0.17439	17.177	0.12298	0.51384
0.17452	17.321	0.12309	0.51815
0.17477	17.478	0.12330	0.52284
0.17492	17.633	0.12343	0.52747
0.17505	17.934	0.12354	0.53650
0.17524	18.175	0.12370	0.54371
0.17537	18.403	0.12381	0.55053
0.17552	18.603	0.12393	0.55651
0.17571	18.700	0.12410	0.55940
0.17590	18.959	0.12426	0.56714
0.17596	19.118	0.12431	0.57190
0.17620	19.442	0.12451	0.58161
0.17638	19.519	0.12466	0.58391
0.17660	19.734	0.12485	0.59032
0.17678	20.043	0.12500	0.59957
0.17687	20.277	0.12508	0.60656
0.17703	20.500	0.12521	0.61325
0.17722	20.862	0.12538	0.62406
0.17743	21.109	0.12555	0.63145
0.17766	21.412	0.12575	0.64053
0.17776	21.703	0.12583	0.64924
0.17801	22.014	0.12605	0.65853
0.17814	22.293	0.12616	0.66690
0.17824	22.428	0.12624	0.67093
0.17847	22.652	0.12644	0.67763
0.17861	22.956	0.12656	0.68673
0.17883	23.261	0.12674	0.69586
0.17904	23.519	0.12692	0.70357
0.17920	23.790	0.12706	0.71168
0.17939	24.087	0.12722	0.72054
0.17955	24.427	0.12736	0.73071
0.17971	24.718	0.12749	0.73942
0.17984	24.904	0.12760	0.74500
0.18010	25.140	0.12783	0.75205
0.18034	25.296	0.12803	0.75671
0.18040	25.674	0.12808	0.76802
0.18059	25.939	0.12824	0.77596
0.18073	26.346	0.12836	0.78813
0.18085	26.692	0.12846	0.79848
0.18105	27.077	0.12863	0.81001
0.18115	27.423	0.12872	0.82034
0.18143	27.606	0.12896	0.82583
0.18157	28.024	0.12908	0.83833
0.18177	28.341	0.12925	0.84781
0.18197	28.641	0.12942	0.85678
0.18207	28.961	0.12950	0.86635
0.18223	29.299	0.12964	0.87648
0.18243	29.704	0.12981	0.88858
0.18255	30.058	0.12991	0.89917
0.18283	30.501	0.13015	0.91244
0.18302	30.720	0.13032	0.91899
0.18324	31.077	0.13050	0.92965
0.18342	31.534	0.13066	0.94333
0.18373	31.988	0.13092	0.95690
0.18375	32.307	0.13094	0.96645
0.18395	32.561	0.13111	0.97404
0.18407	32.819	0.13121	0.98175
0.18428	33.114	0.13139	0.99060
0.18448	33.550	0.13156	1.0036
0.18471	33.837	0.13176	1.0122
0.18497	34.200	0.13198	1.0231
0.18499	34.482	0.13200	1.0315
0.18520	34.889	0.13218	1.0437
0.18536	35.334	0.13232	1.0570
0.18551	35.681	0.13245	1.0674
0.18574	36.122	0.13264	1.0806
0.18590	36.581	0.13278	1.0943
0.18605	37.026	0.13291	1.1076
0.18628	37.293	0.13311	1.1156
0.18650	37.736	0.13330	1.1288
0.18673	38.027	0.13349	1.1376
0.18696	38.272	0.13369	1.1449
0.18711	38.714	0.13382	1.1581
0.18728	38.933	0.13396	1.1647
